primeiro_nome;ultimo_nome;endereco;cidade;estado;pais;aqius;classificacao_aqi
GWENDOLYN;MAY;446 Kirovo-Tepetsk Lane;Higashiosaka;Osaka;Japan;;Desconhecido
JENNIE;TERRY;682 Halisahar Place;Olomouc;Olomoucký;Czechia;;Desconhecido
NORA;HERRERA;1587 Loja Manor;Salzburg;Salzburg;Austria;37.0;Bom (Verde)
MARGIE;WADE;1762 Paarl Parkway;Lengshuijiang;Hunan;China;;Desconhecido
NINA;SOTO;1519 Ilorin Place;Palghat (Palakkad);;;;Desconhecido
CASSANDRA;WALTERS;920 Kumbakonam Loop;Salinas;Minas Gerais;Brazil;;Desconhecido
CASSANDRA;WALTERS;920 Kumbakonam Loop;Salinas;Santa Elena;Ecuador;;Desconhecido
CASSANDRA;WALTERS;920 Kumbakonam Loop;Salinas;Imbabura;Ecuador;;Desconhecido
CASSANDRA;WALTERS;920 Kumbakonam Loop;Salinas;Valencia;Spain;;Desconhecido
CASSANDRA;WALTERS;920 Kumbakonam Loop;Salinas;Veracruz;Mexico;;Desconhecido
LEAH;CURTIS;906 Goinia Way;Kalisz;;;;Desconhecido
PENNY;NEAL;1675 Xiangfan Manor;Kumbakonam;Tamil Nadu;India;;Desconhecido
KAY;CALDWELL;85 San Felipe de Puerto Plata Drive;Yantai;Shandong;China;88.0;Moderado (Amarelo)
KAY;CALDWELL;85 San Felipe de Puerto Plata Drive;Yantai;Chongqing;China;;Desconhecido
PRISCILLA;LOWE;144 South Hill Loop;Salamanca;Coquimbo Region;Chile;;Desconhecido
PRISCILLA;LOWE;144 South Hill Loop;Salamanca;Castille and León;Spain;51.0;Moderado (Amarelo)
PRISCILLA;LOWE;144 South Hill Loop;Salamanca;Madrid;Spain;;Desconhecido
NAOMI;JENNINGS;1884 Shikarpur Avenue;Karnal;;;;Desconhecido
CAROLE;BARNETT;1980 Kamjanets-Podilskyi Street;Peoria;;;;Desconhecido
BRANDY;GRAVES;1944 Bamenda Way;Warren;New South Wales;Australia;;Desconhecido
OLGA;JIMENEZ;556 Baybay Manor;Ogbomosho;;;;Desconhecido
BILLIE;HORTON;457 Tongliao Loop;Inegl;;;;Desconhecido
DIANNE;SHELTON;600 Bradford Street;Tabriz;East Azerbaijan;Iran, Islamic Republic of;;Desconhecido
TRACEY;BARRETT;1006 Santa Brbara dOeste Manor;Owo;;;;Desconhecido
LEONA;OBRIEN;1308 Sumy Loop;Fuzhou;Jiangxi;China;57.0;Moderado (Amarelo)
LEONA;OBRIEN;1308 Sumy Loop;Fuzhou;Fujian;China;74.0;Moderado (Amarelo)
JENNY;CASTRO;1405 Chisinau Place;Ponce;;;;Desconhecido
FELICIA;SUTTON;226 Halifax Street;Korla;Xinjiang;China;154.0;Ruim (Vermelho)
SONIA;GREGORY;1279 Udine Parkway;Benin City;;;;Desconhecido
MIRIAM;MCKINNEY;1336 Benin City Drive;Otsu;;;;Desconhecido
VELMA;LUCAS;1155 Liaocheng Place;Effon-Alaiye;;;;Desconhecido
BECKY;MILES;1993 Tabuk Lane;Tambaram;Tamil Nadu;India;;Desconhecido
BOBBIE;CRAIG;86 Higashiosaka Lane;Valle de Santiago;;;;Desconhecido
VIOLET;RODRIQUEZ;1912 Allende Manor;Kowloon and New Kowloon;;;;Desconhecido
KRISTINA;CHAMBERS;544 Tarsus Boulevard;Valle de la Pascua;;;;Desconhecido
TONI;HOLT;1936 Cuman Avenue;Roanoke;;;;Desconhecido
MISTY;LAMBERT;1192 Tongliao Street;Sharja;;;;Desconhecido
MAE;FLETCHER;44 Najafabad Way;Donostia-San Sebastin;;;;Desconhecido
SHELLY;WATTS;32 Pudukkottai Lane;Dayton;Western Australia;Australia;;Desconhecido
DAISY;BATES;661 Chisinau Lane;Kolpino;;;;Desconhecido
RAMONA;HALE;951 Stara Zagora Manor;Patiala;;;;Desconhecido
SHERRI;RHODES;922 Vila Velha Loop;Ahmadnagar;;;;Desconhecido
ERIKA;PENA;898 Jining Lane;Oulu;North Ostrobothnia;Finland;;Desconhecido
JAMES;GANNON;1635 Kuwana Boulevard;Hiroshima;Hiroshima;Japan;71.0;Moderado (Amarelo)
JOHN;FARNSWORTH;41 El Alto Parkway;Parbhani;Maharashtra;India;;Desconhecido
ROBERT;BAUGHMAN;1883 Maikop Lane;Kaliningrad;;;;Desconhecido
MICHAEL;SILVERMAN;1908 Gaziantep Place;Tiefa;;;;Desconhecido
WILLIAM;SATTERFIELD;687 Alessandria Parkway;Sanaa;;;;Desconhecido
DAVID;ROYAL;827 Yuncheng Drive;Callao;;;;Desconhecido
RICHARD;MCCRARY;913 Coacalco de Berriozbal Loop;Arlington;;;;Desconhecido
CHARLES;KOWALSKI;715 So Bernardo do Campo Lane;Sungai Petani;;;;Desconhecido
JOSEPH;JOY;1354 Siegen Street;Angra dos Reis;Rio de Janeiro;Brazil;;Desconhecido
THOMAS;GRIGSBY;1191 Sungai Petani Boulevard;Kansas City;;;;Desconhecido
CHRISTOPHER;GRECO;1224 Huejutla de Reyes Boulevard;Brescia;Lombardy;Italy;31.0;Bom (Verde)
DANIEL;CABRAL;543 Bergamo Avenue;Ibirit;;;;Desconhecido
PAUL;TROUT;746 Joliet Lane;Kursk;;;;Desconhecido
MARK;RINEHART;780 Kimberley Way;Tabuk;;;;Desconhecido
DONALD;MAHON;1774 Yaound Place;Ezhou;Hubei;China;107.0;Ruim para Grupos Sensíveis (Laranja)
GEORGE;LINTON;1957 Yantai Lane;Sorocaba;São Paulo;Brazil;;Desconhecido
KENNETH;GOODEN;1542 Lubumbashi Boulevard;Bat Yam;Tel Aviv;Israel;56.0;Moderado (Amarelo)
STEVEN;CURLEY;651 Pathankot Loop;Miraj;;;;Desconhecido
EDWARD;BAUGH;1359 Zhoushan Parkway;Trshavn;;;;Desconhecido
BRIAN;WYMAN;1769 Iwaki Lane;Bydgoszcz;;;;Desconhecido
RONALD;WEINER;1145 Vilnius Manor;San Felipe del Progreso;México;Mexico;;Desconhecido
ANTHONY;SCHWAB;1892 Nabereznyje Telny Lane;Tafuna;;;;Desconhecido
KEVIN;SCHULER;470 Boksburg Street;Birgunj;;;;Desconhecido
JASON;MORRISSEY;1427 A Corua (La Corua) Place;Baha Blanca;;;;Desconhecido
MATTHEW;MAHAN;479 San Felipe del Progreso Avenue;Cuautla;Morelos;Mexico;;Desconhecido
GARY;COY;867 Benin City Avenue;Yuzhou;Hebei;China;;Desconhecido
TIMOTHY;BUNN;981 Kumbakonam Place;Braslia;;;;Desconhecido
JOSE;ANDREW;1016 Iwakuni Street;Kingstown;;;;Desconhecido
LARRY;THRASHER;663 Baha Blanca Parkway;Adana;;;;Desconhecido
JEFFREY;SPEAR;1860 Taguig Loop;Ciparay;;;;Desconhecido
FRANK;WAGGONER;1816 Bydgoszcz Loop;Jamalpur;;;;Desconhecido
SCOTT;SHELLEY;587 Benguela Manor;Aurora;Ceará;Brazil;;Desconhecido
SCOTT;SHELLEY;587 Benguela Manor;Aurora;Ontario;Canada;;Desconhecido
ERIC;ROBERT;430 Kumbakonam Drive;Santa F;;;;Desconhecido
STEPHEN;QUALLS;1838 Tabriz Lane;Dhaka;Dhaka Division;Bangladesh;;Desconhecido
ANDREW;PURDY;431 Szkesfehrvr Avenue;Baku;Baki;Azerbaijan;28.0;Bom (Verde)
RAYMOND;MCWHORTER;503 Sogamoso Loop;Sumqayit;;;;Desconhecido
GREGORY;MAULDIN;507 Smolensk Loop;Sousse;;;;Desconhecido
JOSHUA;MARK;1920 Weifang Avenue;Rampur;;;;Desconhecido
JERRY;JORDON;124 al-Manama Way;Onomichi;Hiroshima;Japan;64.0;Moderado (Amarelo)
DENNIS;GILMAN;1443 Mardan Street;Paarl;;;;Desconhecido
WALTER;PERRYMAN;1909 Benguela Lane;Xinxiang;Henan;China;155.0;Ruim (Vermelho)
WALTER;PERRYMAN;1909 Benguela Lane;Xinxiang;Chongqing;China;;Desconhecido
PATRICK;NEWSOM;68 Ponce Parkway;Hanoi;;;;Desconhecido
PETER;MENARD;1217 Konotop Avenue;Ede;;;;Desconhecido
HAROLD;MARTINO;1293 Nam Dinh Way;Boa Vista;Roraima;Brazil;1.0;Bom (Verde)
DOUGLAS;GRAF;785 Vaduz Street;Mexicali;;;;Desconhecido
HENRY;BILLINGSLEY;1516 Escobar Drive;Nukualofa;;;;Desconhecido
CARL;ARTIS;1628 Nagareyama Lane;San Lorenzo;Corrientes;Argentina;;Desconhecido
CARL;ARTIS;1628 Nagareyama Lane;San Lorenzo;Santa Fe;Argentina;;Desconhecido
CARL;ARTIS;1628 Nagareyama Lane;San Lorenzo;Nariño;Colombia;;Desconhecido
CARL;ARTIS;1628 Nagareyama Lane;San Lorenzo;Bolívar;Ecuador;;Desconhecido
CARL;ARTIS;1628 Nagareyama Lane;San Lorenzo;San Marcos;Guatemala;;Desconhecido
CARL;ARTIS;1628 Nagareyama Lane;San Lorenzo;Suchitepeque;Guatemala;;Desconhecido
CARL;ARTIS;1628 Nagareyama Lane;San Lorenzo;Valle Department;Honduras;;Desconhecido
CARL;ARTIS;1628 Nagareyama Lane;San Lorenzo;Calabria;Italy;;Desconhecido
CARL;ARTIS;1628 Nagareyama Lane;San Lorenzo;Piedmont;Italy;;Desconhecido
CARL;ARTIS;1628 Nagareyama Lane;San Lorenzo;Campania;Italy;;Desconhecido
CARL;ARTIS;1628 Nagareyama Lane;San Lorenzo;Liguria;Italy;;Desconhecido
CARL;ARTIS;1628 Nagareyama Lane;San Lorenzo;Oaxaca;Mexico;;Desconhecido
ARTHUR;SIMPKINS;1157 Nyeri Loop;Maikop;;;;Desconhecido
RYAN;SALISBURY;1673 Tangail Drive;Daugavpils;Daugavpils;Latvia;;Desconhecido
ROGER;QUINTANILLA;381 Kabul Way;Hsichuh;;;;Desconhecido
JOE;GILLILAND;953 Hodeida Street;Imus;;;;Desconhecido
JUAN;FRALEY;469 Nakhon Sawan Street;Teboksary;;;;Desconhecido
JACK;FOUST;1378 Beira Loop;Zeleznogorsk;;;;Desconhecido
ALBERT;CROUSE;1641 Changhwa Place;Bamenda;North-West;Cameroon;;Desconhecido
JONATHAN;SCARBOROUGH;1698 Southport Loop;Pachuca de Soto;Hidalgo;Mexico;;Desconhecido
JUSTIN;NGO;519 Nyeri Manor;Santo Andr;;;;Desconhecido
TERRY;GRISSOM;619 Hunuco Avenue;Matsue;Shimane;Japan;59.0;Moderado (Amarelo)
GERALD;FULTZ;45 Aparecida de Goinia Place;Satna;Madhya Pradesh;India;;Desconhecido
KEITH;RICO;482 Kowloon and New Kowloon Manor;Bratislava;;;;Desconhecido
SAMUEL;MARLOW;604 Bern Place;Ranchi;Jharkhand;India;;Desconhecido
WILLIE;MARKHAM;1623 Kingstown Drive;Almirante Brown;;;;Desconhecido
RALPH;MADRIGAL;1009 Zanzibar Lane;Arecibo;;;;Desconhecido
LAWRENCE;LAWTON;114 Jalib al-Shuyukh Manor;Yaound;;;;Desconhecido
NICHOLAS;BARFIELD;1163 London Parkway;Belm;Lower Saxony;Germany;;Desconhecido
ROY;WHITING;1658 Jastrzebie-Zdrj Loop;Nyeri;Nyeri County;Kenya;;Desconhecido
BENJAMIN;VARNEY;817 Laredo Avenue;Guadalajara;Castille-La Mancha;Spain;58.0;Moderado (Amarelo)
BRUCE;SCHWARZ;1565 Tangail Manor;Okinawa;Okinawa;Japan;14.0;Bom (Verde)
BRANDON;HUEY;1912 Emeishan Drive;Balikesir;;;;Desconhecido
ADAM;GOOCH;230 Urawa Drive;Adoni;Andhra Pradesh;India;;Desconhecido
HARRY;ARCE;1922 Miraj Way;Najafabad;;;;Desconhecido
FRED;WHEAT;433 Florencia Street;Jurez;;;;Desconhecido
WAYNE;TRUONG;1049 Matamoros Parkway;Gulbarga;;;;Desconhecido
BILLY;POULIN;1061 Ede Avenue;Cabuyao;;;;Desconhecido
STEVE;MACKENZIE;154 Oshawa Manor;Probolinggo;East Java;Indonesia;59.0;Moderado (Amarelo)
LOUIS;LEONE;1191 Tandil Drive;Tanauan;;;;Desconhecido
JEREMY;HURTADO;1133 Rizhao Avenue;Vitria de Santo Anto;;;;Desconhecido
AARON;SELBY;1519 Santiago de los Caballeros Loop;Mwene-Ditu;Lomami;Congo, The Democratic Republic of the;;Desconhecido
RANDY;GAITHER;1618 Olomouc Manor;Kurgan;;;;Desconhecido
HOWARD;FORTNER;220 Hidalgo Drive;Kermanshah;Kermanshah Province;Iran, Islamic Republic of;;Desconhecido
EUGENE;CULPEPPER;686 Donostia-San Sebastin Lane;Shenzhen;Guangdong;China;58.0;Moderado (Amarelo)
CARLOS;COUGHLIN;97 Mogiljov Lane;Bhavnagar;Gujarat;India;;Desconhecido
RUSSELL;BRINSON;1642 Charlotte Amalie Drive;Tychy;;;;Desconhecido
BOBBY;BOUDREAU;1368 Maracabo Boulevard;South Hill;England;United Kingdom;;Desconhecido
VICTOR;BARKLEY;401 Sucre Boulevard;Manchester;England;United Kingdom;65.0;Moderado (Amarelo)
MARTIN;BALES;368 Hunuco Boulevard;Namibe;;;;Desconhecido
ERNEST;STEPP;500 Lincoln Parkway;Huaian;;;;Desconhecido
PHILLIP;HOLM;102 Chapra Drive;Tama;La Rioja;Argentina;;Desconhecido
PHILLIP;HOLM;102 Chapra Drive;Tama;Tokyo;Japan;44.0;Bom (Verde)
TODD;TAN;1793 Meixian Place;Kamjanets-Podilskyi;;;;Desconhecido
JESSE;SCHILLING;514 Ife Way;Lubumbashi;Haut-Katanga;Congo, The Democratic Republic of the;;Desconhecido
CRAIG;MORRELL;717 Changzhou Lane;Cavite;;;;Desconhecido
ALAN;KAHN;753 Ilorin Avenue;Emeishan;;;;Desconhecido
SHAWN;HEATON;1337 Mit Ghamr Avenue;Nakhon Sawan;;;;Desconhecido
CLARENCE;GAMEZ;767 Pyongyang Drive;Izumisano;;;;Desconhecido
SEAN;DOUGLASS;614 Pak Kret Street;Addis Abeba;;;;Desconhecido
PHILIP;CAUSEY;954 Lapu-Lapu Way;Korolev;;;;Desconhecido
CHRIS;BROTHERS;331 Bydgoszcz Parkway;Gijn;;;;Desconhecido
JOHNNY;TURPIN;1152 Citrus Heights Manor;al-Qadarif;;;;Desconhecido
EARL;SHANKS;168 Cianjur Manor;Iwatsuki;Saitama;Japan;;Desconhecido
JIMMY;SCHRADER;616 Hagonoy Avenue;Atinsk;;;;Desconhecido
ANTONIO;MEEK;1190 0 Place;Bag;Pest County;Hungary;;Desconhecido
DANNY;ISOM;734 Bchar Place;Okara;;;;Desconhecido
BRYAN;HARDISON;530 Lausanne Lane;Dallas;Victoria;Australia;;Desconhecido
TONY;CARRANZA;454 Patiala Lane;Koriyama;;;;Desconhecido
LUIS;YANEZ;1346 Mysore Drive;Brest;Brest;Belarus;52.0;Moderado (Amarelo)
LUIS;YANEZ;1346 Mysore Drive;Brest;Brittany;France;45.0;Bom (Verde)
MIKE;WAY;990 Etawah Loop;Valparai;Tamil Nadu;India;;Desconhecido
STANLEY;SCROGGINS;1266 Laredo Parkway;Omiya;;;;Desconhecido
LEONARD;SCHOFIELD;88 Nagaon Manor;Tandil;Buenos Aires;Argentina;;Desconhecido
NATHAN;RUNYON;264 Bhimavaram Manor;Charlotte Amalie;;;;Desconhecido
DALE;RATCLIFF;1639 Saarbrcken Drive;Rustenburg;;;;Desconhecido
MANUEL;MURRELL;692 Amroha Drive;Jaffna;Northern Province;Sri Lanka;33.0;Bom (Verde)
RODNEY;MOELLER;1936 Lapu-Lapu Parkway;Deba Habe;;;;Desconhecido
CURTIS;IRBY;432 Garden Grove Street;Richmond Hill;Ontario;Canada;0.0;Bom (Verde)
NORMAN;CURRIER;1445 Carmen Parkway;Cianjur;West Java;Indonesia;;Desconhecido
ALLEN;BUTTERFIELD;791 Salinas Street;Hoshiarpur;;;;Desconhecido
MARVIN;YEE;126 Acua Parkway;Berhampore (Baharampur);;;;Desconhecido
VINCENT;RALSTON;397 Sunnyvale Avenue;Allende;;;;Desconhecido
GLENN;PULLEN;992 Klerksdorp Loop;Amersfoort;;;;Desconhecido
JEFFERY;PINSON;966 Arecibo Loop;Dadu;;;;Desconhecido
TRAVIS;ESTEP;289 Santo Andr Manor;al-Qatif;;;;Desconhecido
JEFF;EAST;437 Chungho Drive;San Felipe de Puerto Plata;;;;Desconhecido
CHAD;CARBONE;1948 Bayugan Parkway;Katihar;Bihar;India;9.0;Bom (Verde)
JACOB;LANCE;1866 al-Qatif Avenue;El Monte;Santiago Metropolitan;Chile;;Desconhecido
LEE;HAWKS;1661 Abha Drive;Pudukkottai;Tamil Nadu;India;50.0;Bom (Verde)
MELVIN;ELLINGTON;1557 Cape Coral Parkway;Laohekou;Hubei;China;;Desconhecido
ALFRED;CASILLAS;1727 Matamoros Place;Sawhaj;;;;Desconhecido
KYLE;SPURLOCK;1269 Botosani Manor;Shanwei;Guangdong;China;39.0;Bom (Verde)
FRANCIS;SIKES;355 Vitria de Santo Anto Way;San Juan Bautista Tuxtepec;;;;Desconhecido
BRADLEY;MOTLEY;1596 Acua Parkway;Purnea (Purnia);;;;Desconhecido
JESUS;MCCARTNEY;259 Ipoh Drive;Guaruj;;;;Desconhecido
HERBERT;KRUGER;1823 Hoshiarpur Lane;Syktyvkar;;;;Desconhecido
FREDERICK;ISBELL;1404 Taguig Drive;Tsuyama;Okayama;Japan;62.0;Moderado (Amarelo)
RAY;HOULE;740 Udaipur Lane;Dzerzinsk;;;;Desconhecido
JOEL;FRANCISCO;287 Cuautla Boulevard;Sucre;Chuquisaca Department;Bolivia, Plurinational State of;;Desconhecido
JOEL;FRANCISCO;287 Cuautla Boulevard;Sucre;Sucre Department;Colombia;;Desconhecido
JOEL;FRANCISCO;287 Cuautla Boulevard;Sucre;Santander Department;Colombia;;Desconhecido
JOEL;FRANCISCO;287 Cuautla Boulevard;Sucre;Cauca Department;Colombia;;Desconhecido
JOEL;FRANCISCO;287 Cuautla Boulevard;Sucre;Manabí;Ecuador;;Desconhecido
JOEL;FRANCISCO;287 Cuautla Boulevard;Sucre;Tungurahua Province;Ecuador;;Desconhecido
EDWIN;BURK;1766 Almirante Brown Street;Newcastle;New South Wales;Australia;19.0;Bom (Verde)
EDWIN;BURK;1766 Almirante Brown Street;Newcastle;Northern Ireland;United Kingdom;;Desconhecido
EDWIN;BURK;1766 Almirante Brown Street;Newcastle;Leinster;Ireland;;Desconhecido
EDWIN;BURK;1766 Almirante Brown Street;Newcastle;Saint James Windwa;Saint Kitts and Nevis;;Desconhecido
DON;BONE;596 Huixquilucan Place;Naala-Porto;;;;Desconhecido
EDDIE;TOMLIN;1351 Aparecida de Goinia Parkway;Ozamis;;;;Desconhecido
RICKY;SHELBY;722 Bradford Lane;Junan;;;;Desconhecido
TROY;QUIGLEY;983 Santa F Way;Vancouver;British Columbia;Canada;24.0;Bom (Verde)
RANDALL;NEUMANN;1245 Ibirit Way;La Romana;La Romana;Dominican Republic;;Desconhecido
RANDALL;NEUMANN;1245 Ibirit Way;La Romana;Valencia;Spain;;Desconhecido
BARRY;LOVELACE;1836 Korla Parkway;Kitwe;;;;Desconhecido
ALEXANDER;FENNELL;231 Kaliningrad Place;Bergamo;Lombardy;Italy;39.0;Bom (Verde)
BERNARD;COLBY;495 Bhimavaram Lane;Dhule (Dhulia);;;;Desconhecido
MARIO;CHEATHAM;1924 Shimonoseki Drive;Batna;;;;Desconhecido
LEROY;BUSTAMANTE;105 Dzerzinsk Manor;Tongliao;Inner Mongolia;China;64.0;Moderado (Amarelo)
FRANCISCO;SKIDMORE;614 Denizli Parkway;So Leopoldo;;;;Desconhecido
MARCUS;HIDALGO;1289 Belm Boulevard;Tartu;Tartu;Estonia;30.0;Bom (Verde)
MICHEAL;FORMAN;203 Tambaram Street;Escobar;;;;Desconhecido
THEODORE;CULP;1704 Tambaram Manor;Uluberia;;;;Desconhecido
CLIFFORD;BOWENS;207 Cuernavaca Loop;Nabereznyje Telny;;;;Desconhecido
MIGUEL;BETANCOURT;319 Springs Loop;Erlangen;Bavaria;Germany;;Desconhecido
OSCAR;AQUINO;956 Nam Dinh Manor;Sirjan;Kerman;Iran, Islamic Republic of;;Desconhecido
JAY;ROBB;1947 Paarl Way;Surakarta;Central Java;Indonesia;89.0;Moderado (Amarelo)
JIM;REA;814 Simferopol Loop;El Fuerte;;;;Desconhecido
TOM;MILNER;535 Ahmadnagar Manor;Abu Dhabi;Abu Dhabi;United Arab Emirates;124.0;Ruim para Grupos Sensíveis (Laranja)
CALVIN;MARTEL;138 Caracas Boulevard;Maracabo;;;;Desconhecido
ALEX;GRESHAM;251 Florencia Drive;Uruapan;;;;Desconhecido
JON;WILES;659 Gatineau Boulevard;El Alto;Catamarca;Argentina;;Desconhecido
RONNIE;RICKETTS;1889 Valparai Way;Ziguinchor;;;;Desconhecido
BILL;GAVIN;1485 Bratislava Place;Rockford;;;;Desconhecido
LLOYD;DOWD;935 Aden Boulevard;Tegal;Central Java;Indonesia;;Desconhecido
TOMMY;COLLAZO;76 Kermanshah Manor;Qomsheh;;;;Desconhecido
LEON;BOSTIC;734 Tanshui Avenue;Florencia;Cauca Department;Colombia;;Desconhecido
LEON;BOSTIC;734 Tanshui Avenue;Florencia;Caquetá;Colombia;;Desconhecido
LEON;BOSTIC;734 Tanshui Avenue;Florencia;Ciego de Ávila Province;Cuba;;Desconhecido
DEREK;BLAKELY;118 Jaffna Loop;Gingoog;;;;Desconhecido
WARREN;SHERROD;1621 Tongliao Avenue;Usolje-Sibirskoje;;;;Desconhecido
DARRELL;POWER;1844 Usak Avenue;Halifax;Nova Scotia;Canada;28.0;Bom (Verde)
DARRELL;POWER;1844 Usak Avenue;Halifax;England;United Kingdom;;Desconhecido
JEROME;KENYON;1872 Toulon Loop;Rancagua;O'Higgins Region;Chile;;Desconhecido
FLOYD;GANDY;1088 Ibirit Place;Zapopan;;;;Desconhecido
LEO;EBERT;1322 Mosul Parkway;Dongying;Shandong;China;88.0;Moderado (Amarelo)
ALVIN;DELOACH;1447 Chatsworth Place;Cuauhtmoc;;;;Desconhecido
TIM;CARY;1257 Guadalajara Street;Bijapur;Karnataka;India;;Desconhecido
WESLEY;BULL;1469 Plock Lane;Ourense (Orense);;;;Desconhecido
GORDON;ALLARD;434 Ourense (Orense) Manor;Hodeida;;;;Desconhecido
DEAN;SAUER;270 Tambaram Parkway;Johannesburg;;;;Desconhecido
GREG;ROBINS;1786 Salinas Place;Nam Dinh;;;;Desconhecido
JORGE;OLIVARES;1078 Stara Zagora Drive;Lhokseumawe;Aceh;Indonesia;;Desconhecido
DUSTIN;GILLETTE;1854 Okara Boulevard;Emmen;Lucerne;Switzerland;;Desconhecido
PEDRO;CHESTNUT;421 Yaound Street;ostka;;;;Desconhecido
DERRICK;BOURQUE;1153 Allende Way;Gatineau;Quebec;Canada;20.0;Bom (Verde)
DAN;PAINE;808 Naala-Porto Parkway;Stockport;England;United Kingdom;;Desconhecido
LEWIS;LYMAN;632 Usolje-Sibirskoje Parkway;Ashqelon;;;;Desconhecido
ZACHARY;HITE;98 Pyongyang Boulevard;Akron;;;;Desconhecido
COREY;HAUSER;984 Novoterkassk Loop;Gaziantep;;;;Desconhecido
HERMAN;DEVORE;64 Korla Street;Mwanza;Southern Region;Malawi;;Desconhecido
MAURICE;CRAWLEY;1785 So Bernardo do Campo Street;Coatzacoalcos;Veracruz;Mexico;;Desconhecido
VERNON;CHAPA;698 Jelets Boulevard;Denizli;;;;Desconhecido
ROBERTO;VU;1297 Alvorada Parkway;Yinchuan;Ningxia;China;69.0;Moderado (Amarelo)
CLYDE;TOBIAS;1909 Dayton Avenue;Shaoguan;Guangdong;China;39.0;Bom (Verde)
GLEN;TALBERT;1789 Saint-Denis Parkway;Acua;;;;Desconhecido
HECTOR;POINDEXTER;185 Mannheim Lane;Pjatigorsk;;;;Desconhecido
SHANE;MILLARD;184 Mandaluyong Street;La Paz;Entre Rios;Argentina;;Desconhecido
SHANE;MILLARD;184 Mandaluyong Street;La Paz;Mendoza;Argentina;;Desconhecido
SHANE;MILLARD;184 Mandaluyong Street;La Paz;La Paz Department;Bolivia, Plurinational State of;;Desconhecido
SHANE;MILLARD;184 Mandaluyong Street;La Paz;Cesar Department;Colombia;;Desconhecido
SHANE;MILLARD;184 Mandaluyong Street;La Paz;Santander Department;Colombia;;Desconhecido
SHANE;MILLARD;184 Mandaluyong Street;La Paz;Zamora Chinchipe;Ecuador;;Desconhecido
SHANE;MILLARD;184 Mandaluyong Street;La Paz;Carchi;Ecuador;;Desconhecido
SHANE;MILLARD;184 Mandaluyong Street;La Paz;Madrid;Spain;;Desconhecido
SHANE;MILLARD;184 Mandaluyong Street;La Paz;La Paz Department;Honduras;;Desconhecido
RICARDO;MEADOR;591 Sungai Petani Drive;Okayama;Okayama;Japan;67.0;Moderado (Amarelo)
SAM;MCDUFFIE;656 Matamoros Drive;Sogamoso;Boyacá;Colombia;;Desconhecido
RICK;MATTOX;775 ostka Drive;Mit Ghamr;;;;Desconhecido
LESTER;KRAUS;1013 Tabuk Boulevard;Kanchrapara;;;;Desconhecido
BRENT;HARKINS;319 Plock Parkway;Sultanbeyli;;;;Desconhecido
RAMON;CHOATE;1954 Kowloon and New Kowloon Way;Robamba;;;;Desconhecido
CHARLIE;BESS;362 Rajkot Lane;Baiyin;Gansu;China;55.0;Moderado (Amarelo)
TYLER;WREN;1060 Tandil Lane;Rizhao;Shandong;China;79.0;Moderado (Amarelo)
GILBERT;SLEDGE;1515 Korla Way;York;Western Australia;Australia;;Desconhecido
GILBERT;SLEDGE;1515 Korla Way;York;England;United Kingdom;21.0;Bom (Verde)
GENE;SANBORN;1416 San Juan Bautista Tuxtepec Avenue;Salala;;;;Desconhecido
MARC;OUTLAW;1 Valle de Santiago Avenue;Brindisi;Apulia;Italy;56.0;Moderado (Amarelo)
REGINALD;KINDER;519 Brescia Parkway;Madiun;East Java;Indonesia;59.0;Moderado (Amarelo)
RUBEN;GEARY;414 Mandaluyong Street;Lublin;;;;Desconhecido
BRETT;CORNWELL;1197 Sokoto Boulevard;Siliguri (Shiliguri);;;;Desconhecido
ANGEL;BARCLAY;496 Celaya Drive;Ueda;Nagano;Japan;61.0;Moderado (Amarelo)
NATHANIEL;ADAM;786 Matsue Way;Joliet;;;;Desconhecido
RAFAEL;ABNEY;48 Maracabo Place;Talavera;;;;Desconhecido
LESLIE;SEWARD;1152 al-Qatif Lane;Pontianak;West Kalimantan;Indonesia;76.0;Moderado (Amarelo)
EDGAR;RHOADS;1269 Ipoh Avenue;Eskisehir;;;;Desconhecido
MILTON;HOWLAND;758 Korolev Parkway;Vijayawada;Andhra Pradesh;India;104.0;Ruim para Grupos Sensíveis (Laranja)
RAUL;FORTIER;1747 Rustenburg Place;Chapra;Assam;India;;Desconhecido
BEN;EASTER;886 Tonghae Place;Kamyin;;;;Desconhecido
CHESTER;BENNER;1574 Goinia Boulevard;Suihua;Heilongjiang;China;39.0;Bom (Verde)
CECIL;VINES;548 Uruapan Street;London;Ontario;Canada;13.0;Bom (Verde)
CECIL;VINES;548 Uruapan Street;London;England;United Kingdom;33.0;Bom (Verde)
DUANE;TUBBS;962 Tama Loop;Yangor;;;;Desconhecido
FRANKLIN;TROUTMAN;1778 Gijn Manor;Zaoyang;Hubei;China;;Desconhecido
ANDRE;RAPP;568 Dhule (Dhulia) Loop;Coquimbo;Coquimbo Region;Chile;;Desconhecido
ELMER;NOE;1768 Udine Loop;Battambang;Battambang;Cambodia;;Desconhecido
BRAD;MCCURDY;608 Birgunj Parkway;Chungho;;;;Desconhecido
GABRIEL;HARDER;680 A Corua (La Corua) Manor;Sivas;;;;Desconhecido
RON;DELUCA;1949 Sanya Street;Isesaki;Gunma;Japan;;Desconhecido
MITCHELL;WESTMORELAND;617 Klerksdorp Place;Nha Trang;;;;Desconhecido
